,zlim,qm,qd,S,MLE,QM_errors,QD_errors
13,0.00587,-0.461057382,9.59002925,0.0111941205,-1528.7782351574197,"[0.08418295663612263, 0.08362947544330956]","[8.102047097601439, 18.834069620128908]"
14,0.00907,-0.492703104,15.3667823,0.00935,-1520.286576661847,"[0.08547092213478497, 0.08488233836122933]","[9.688757025563945, 6.747985488573903]"
12,0.01351,-0.489906202,6.50373614,0.0133857677,-1506.2670436094113,"[0.08392284741521516, 0.08332176094916194]","[4.128971003418395, 3.855177437957929]"
11,0.01613,-0.481499051,4.32162046,0.01652,-1456.760396621141,"[0.08437761164630331, 0.08376822630889641]","[2.519241489947827, 2.411683935145045]"
10,0.01826,-0.497254409,3.85585926,0.01855,-1443.9514556756917,"[0.08528783189876438, 0.08465493659211804]","[1.9898447999399878, 2.152389600987351]"
7,0.02121,-0.506506555,2.6977587,0.02255,-1409.5216769509868,"[0.08662798838819885, 0.08597959147079504]","[1.670603298258225, 1.4003592213416014]"
5,0.02324,-0.482165229,2.05075502,0.02325,-1360.8122401162168,"[0.08816900763093466, 0.08747953615594328]","[1.414622324245447, 1.6907423278513858]"
9,0.02531,-0.489974554,1.5720618,0.02713,-1306.077348498504,"[0.09075875988759374, 0.09001474657812503]","[1.0928793761560252, 1.481105886656855]"
6,0.02873,-0.468025071,1.59324638,0.02849,-1259.2233542635518,"[0.09275963325168712, 0.09196044203454451]","[1.1309810452646238, 1.4130285029201435]"
4,0.03139,-0.470684046,0.839198531,0.0329,-1210.6956820929677,"[0.09685552535301967, 0.09595915430699731]","[0.9301957838449306, 1.2717112384534066]"
2,0.03486,-0.496,-0.06523,0.7646,-1142.5917687996853,"[0.10311121128504352, 0.10225217701983402]","[0.8977195735193906, 1.241183838244575]"
1,0.04146,-0.542077319,-0.65073348,0.04268,-1106.3534531413509,"[0.11023939367520696, 0.10896471821204362]","[0.17926667657465412, 0.05819785305923563]"
0,0.05057,-0.463338647,0.173395873,0.05151,-1046.5275643700993,"[0.1212103239062095, 0.12174461162442163]","[0.7790466616072482, 0.9119345633426961]"
3,0.06976,-0.438252014,-0.0692584833,0.648390189,-988.4735078373432,"[0.14219213610644954, 0.12065283389390252]","[0.12297619515177867, 0.09014974230476491]"
8,0.10762,-0.451431918,-0.0451277954,1.0,-933.0617539635084,"[0.169815981922332, 0.16729657254588465]","[0.07648138755346721, 0.07914540447603857]"
