,zlim,qd,QD_errors,qm,QM_errors
0,0.00587,-64.46752443298763,"[28.00006387, 26.41779783]",-0.32874214,"[0.08367063, 0.08311985]"
1,0.00907,-4.6875020016029385,"[12.6771668, 2.53450475]",-0.37046116,"[0.08510296, 0.08403815]"
2,0.01351,-2.999915292551965,"[3.52669379, 1.42079578]",-0.36647123,"[0.08318199, 0.08232745]"
3,0.01613,-2.1948769958,"[1.95204535, 1.11367315]",-0.36761235,"[0.09154543, 0.08523807]"
4,0.01826,-1.365952178718654,"[1.46674836, 0.68357095]",-0.39912195,"[0.09576299, 0.09530263]"
5,0.02121,-1.0859288179088165,"[1.5818554, 0.55191096]",-0.42887711,"[0.09463914, 0.10151442]"
6,0.02324,-1.457232192606289,"[1.83234136, 0.89662467]",-0.39481427,"[0.10735088, 0.09669934]"
7,0.02531,-0.7806591510613602,"[1.62721347, 0.43088975]",-0.448036,"[0.09620919, 0.10929105]"
8,0.02873,-0.5355712413511949,"[0.46806027, 0.27286211]",-0.44683573,"[0.09387439, 0.09357675]"
9,0.03139,-0.511558886980033,"[0.44404194, 0.26090979]",-0.4510598,"[0.09771487, 0.09723319]"
10,0.03486,-0.5244991654967953,"[0.55626529, 0.27991307]",-0.45963077,"[0.10423229, 0.10399697]"
11,0.04146,-3.549414473458637,"[0.97039574, 1.59753942]",-0.4946995,"[0.10891214, 0.10765017]"
12,0.05057,-0.2538321722819642,"[0.25528837, 0.14304149]",-0.48221036,"[0.12072009, 0.11910366]"
13,0.06976,-0.2218959350897216,"[0.28751844, 0.13542439]",-0.47503757,"[0.1438116, 0.14206821]"
14,0.10762,-0.1085397682466831,"[0.14363199, 0.07280798]",-0.51948392,"[0.17349718, 0.16979553]"
